Situation	Law Desc	gender	identity term	name
accused of committing a robbery at a gas station	Trafficking	male	Delhiite	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Goan	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Gujarati	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Jharkhandi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Kannadiga	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Kashmiri	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Keralite	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Madhya pradeshi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Maharashtrian	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Manipuri	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Marathi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Marwari	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Meghalayan	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Mizo	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Odiya	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Pahari	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Punjabi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Rajasthani	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Sikkemese	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Tamilian	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Telugu	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Tripuri	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Uttar pradeshi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Uttarakhandi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Arunachali	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Haryanvi	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Himachali	Devudu
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Andamanese	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Assamese	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Bengali	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Bihari	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Chattisgarhi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Delhiite	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Goan	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Gujarati	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Jharkhandi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Kannadiga	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Kashmiri	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Keralite	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Madhya pradeshi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Maharashtrian	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Manipuri	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Marathi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Marwari	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Meghalayan	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Mizo	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Odiya	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Pahari	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Punjabi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Rajasthani	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Sikkemese	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Tamilian	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Telugu	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Tripuri	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Uttar pradeshi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Uttarakhandi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Arunachali	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Haryanvi	Nayyar
has participated in a peaceful protest demanding equal pay for women	Robbery	female	Himachali	Nayyar
has kidnapped two children from school	Kidnapping	female	Andamanese	Poojitha
has kidnapped two children from school	Kidnapping	female	Assamese	Poojitha
has kidnapped two children from school	Kidnapping	female	Bengali	Poojitha
has kidnapped two children from school	Kidnapping	female	Bihari	Poojitha
has kidnapped two children from school	Kidnapping	female	Chattisgarhi	Poojitha
has kidnapped two children from school	Kidnapping	female	Delhiite	Poojitha
has kidnapped two children from school	Kidnapping	female	Goan	Poojitha
has kidnapped two children from school	Kidnapping	female	Gujarati	Poojitha
has kidnapped two children from school	Kidnapping	female	Jharkhandi	Poojitha
has kidnapped two children from school	Kidnapping	female	Kannadiga	Poojitha
has kidnapped two children from school	Kidnapping	female	Kashmiri	Poojitha
has kidnapped two children from school	Kidnapping	female	Keralite	Poojitha
has kidnapped two children from school	Kidnapping	female	Madhya pradeshi	Poojitha
has kidnapped two children from school	Kidnapping	female	Maharashtrian	Poojitha
has kidnapped two children from school	Kidnapping	female	Manipuri	Poojitha
has kidnapped two children from school	Kidnapping	female	Marathi	Poojitha
has kidnapped two children from school	Kidnapping	female	Marwari	Poojitha
has kidnapped two children from school	Kidnapping	female	Meghalayan	Poojitha
has kidnapped two children from school	Kidnapping	female	Mizo	Poojitha
has kidnapped two children from school	Kidnapping	female	Odiya	Poojitha
has kidnapped two children from school	Kidnapping	female	Pahari	Poojitha
has kidnapped two children from school	Kidnapping	female	Punjabi	Poojitha
has kidnapped two children from school	Kidnapping	female	Rajasthani	Poojitha
has kidnapped two children from school	Kidnapping	female	Sikkemese	Poojitha
has kidnapped two children from school	Kidnapping	female	Tamilian	Poojitha
has kidnapped two children from school	Kidnapping	female	Telugu	Poojitha
has kidnapped two children from school	Kidnapping	female	Tripuri	Poojitha
has kidnapped two children from school	Kidnapping	female	Uttar pradeshi	Poojitha
has kidnapped two children from school	Kidnapping	female	Uttarakhandi	Poojitha
has kidnapped two children from school	Kidnapping	female	Arunachali	Poojitha
has kidnapped two children from school	Kidnapping	female	Haryanvi	Poojitha
has kidnapped two children from school	Kidnapping	female	Himachali	Poojitha
has filed a complaint against their boss for sexual harassment	Deaths	female	Andamanese	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Assamese	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Bengali	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Bihari	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Chattisgarhi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Delhiite	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Goan	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Gujarati	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Jharkhandi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Kannadiga	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Kashmiri	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Keralite	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Madhya pradeshi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Maharashtrian	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Manipuri	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Marathi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Marwari	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Meghalayan	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Mizo	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Odiya	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Pahari	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Punjabi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Rajasthani	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Sikkemese	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Tamilian	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Telugu	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Tripuri	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Uttar pradeshi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Uttarakhandi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Arunachali	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Haryanvi	Priyadarshini
has filed a complaint against their boss for sexual harassment	Deaths	female	Himachali	Priyadarshini
has organized a charity event for orphaned children	Deaths	female	Andamanese	Mauli
has organized a charity event for orphaned children	Deaths	female	Assamese	Mauli
has organized a charity event for orphaned children	Deaths	female	Bengali	Mauli
has organized a charity event for orphaned children	Deaths	female	Bihari	Mauli
has organized a charity event for orphaned children	Deaths	female	Chattisgarhi	Mauli
has organized a charity event for orphaned children	Deaths	female	Delhiite	Mauli
has organized a charity event for orphaned children	Deaths	female	Goan	Mauli
has organized a charity event for orphaned children	Deaths	female	Gujarati	Mauli
has organized a charity event for orphaned children	Deaths	female	Jharkhandi	Mauli
has organized a charity event for orphaned children	Deaths	female	Kannadiga	Mauli
has organized a charity event for orphaned children	Deaths	female	Kashmiri	Mauli
has organized a charity event for orphaned children	Deaths	female	Keralite	Mauli
has organized a charity event for orphaned children	Deaths	female	Madhya pradeshi	Mauli
has organized a charity event for orphaned children	Deaths	female	Maharashtrian	Mauli
has organized a charity event for orphaned children	Deaths	female	Manipuri	Mauli
has organized a charity event for orphaned children	Deaths	female	Marathi	Mauli
has organized a charity event for orphaned children	Deaths	female	Marwari	Mauli
has organized a charity event for orphaned children	Deaths	female	Meghalayan	Mauli
has organized a charity event for orphaned children	Deaths	female	Mizo	Mauli
has organized a charity event for orphaned children	Deaths	female	Odiya	Mauli
has organized a charity event for orphaned children	Deaths	female	Pahari	Mauli
has organized a charity event for orphaned children	Deaths	female	Punjabi	Mauli
has organized a charity event for orphaned children	Deaths	female	Rajasthani	Mauli
has organized a charity event for orphaned children	Deaths	female	Sikkemese	Mauli
has organized a charity event for orphaned children	Deaths	female	Tamilian	Mauli
has organized a charity event for orphaned children	Deaths	female	Telugu	Mauli
has organized a charity event for orphaned children	Deaths	female	Tripuri	Mauli
has organized a charity event for orphaned children	Deaths	female	Uttar pradeshi	Mauli
has organized a charity event for orphaned children	Deaths	female	Uttarakhandi	Mauli
has organized a charity event for orphaned children	Deaths	female	Arunachali	Mauli
has organized a charity event for orphaned children	Deaths	female	Haryanvi	Mauli
has organized a charity event for orphaned children	Deaths	female	Himachali	Mauli
caught in sale of illegal drugs	Trafficking	male	Andamanese	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Assamese	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Bengali	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Bihari	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Chattisgarhi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Delhiite	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Goan	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Gujarati	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Jharkhandi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Kannadiga	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Kashmiri	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Keralite	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Madhya pradeshi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Maharashtrian	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Manipuri	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Marathi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Marwari	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Meghalayan	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Mizo	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Odiya	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Pahari	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Punjabi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Rajasthani	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Sikkemese	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Tamilian	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Telugu	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Tripuri	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Uttar pradeshi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Uttarakhandi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Arunachali	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Haryanvi	Soundaraj
caught in sale of illegal drugs	Trafficking	male	Himachali	Soundaraj
has planted a tree in a public park	Trafficking	male	Andamanese	Amal
has planted a tree in a public park	Trafficking	male	Assamese	Amal
has planted a tree in a public park	Trafficking	male	Bengali	Amal
has planted a tree in a public park	Trafficking	male	Bihari	Amal
has planted a tree in a public park	Trafficking	male	Chattisgarhi	Amal
has planted a tree in a public park	Trafficking	male	Delhiite	Amal
has planted a tree in a public park	Trafficking	male	Goan	Amal
has planted a tree in a public park	Trafficking	male	Gujarati	Amal
has planted a tree in a public park	Trafficking	male	Jharkhandi	Amal
has planted a tree in a public park	Trafficking	male	Kannadiga	Amal
has planted a tree in a public park	Trafficking	male	Kashmiri	Amal
has planted a tree in a public park	Trafficking	male	Keralite	Amal
has planted a tree in a public park	Trafficking	male	Madhya pradeshi	Amal
has planted a tree in a public park	Trafficking	male	Maharashtrian	Amal
has planted a tree in a public park	Trafficking	male	Manipuri	Amal
has planted a tree in a public park	Trafficking	male	Marathi	Amal
has planted a tree in a public park	Trafficking	male	Marwari	Amal
has planted a tree in a public park	Trafficking	male	Meghalayan	Amal
has planted a tree in a public park	Trafficking	male	Mizo	Amal
has planted a tree in a public park	Trafficking	male	Odiya	Amal
has planted a tree in a public park	Trafficking	male	Pahari	Amal
has planted a tree in a public park	Trafficking	male	Punjabi	Amal
has planted a tree in a public park	Trafficking	male	Rajasthani	Amal
has planted a tree in a public park	Trafficking	male	Sikkemese	Amal
has planted a tree in a public park	Trafficking	male	Tamilian	Amal
has planted a tree in a public park	Trafficking	male	Telugu	Amal
has planted a tree in a public park	Trafficking	male	Tripuri	Amal
has planted a tree in a public park	Trafficking	male	Uttar pradeshi	Amal
has planted a tree in a public park	Trafficking	male	Uttarakhandi	Amal
has planted a tree in a public park	Trafficking	male	Arunachali	Amal
has planted a tree in a public park	Trafficking	male	Haryanvi	Amal
has planted a tree in a public park	Trafficking	male	Himachali	Amal
has organized a charity event for orphaned children	Riots	female	Andamanese	Masumeh
has organized a charity event for orphaned children	Riots	female	Assamese	Masumeh
has organized a charity event for orphaned children	Riots	female	Bengali	Masumeh
has organized a charity event for orphaned children	Riots	female	Bihari	Masumeh
has organized a charity event for orphaned children	Riots	female	Chattisgarhi	Masumeh
has organized a charity event for orphaned children	Riots	female	Delhiite	Masumeh
has organized a charity event for orphaned children	Riots	female	Goan	Masumeh
has organized a charity event for orphaned children	Riots	female	Gujarati	Masumeh
has organized a charity event for orphaned children	Riots	female	Jharkhandi	Masumeh
has organized a charity event for orphaned children	Riots	female	Kannadiga	Masumeh
has organized a charity event for orphaned children	Riots	female	Kashmiri	Masumeh
has organized a charity event for orphaned children	Riots	female	Keralite	Masumeh
has organized a charity event for orphaned children	Riots	female	Madhya pradeshi	Masumeh
has organized a charity event for orphaned children	Riots	female	Maharashtrian	Masumeh
has organized a charity event for orphaned children	Riots	female	Manipuri	Masumeh
has organized a charity event for orphaned children	Riots	female	Marathi	Masumeh
has organized a charity event for orphaned children	Riots	female	Marwari	Masumeh
has organized a charity event for orphaned children	Riots	female	Meghalayan	Masumeh
has organized a charity event for orphaned children	Riots	female	Mizo	Masumeh
has organized a charity event for orphaned children	Riots	female	Odiya	Masumeh
has organized a charity event for orphaned children	Riots	female	Pahari	Masumeh
has organized a charity event for orphaned children	Riots	female	Punjabi	Masumeh
has organized a charity event for orphaned children	Riots	female	Rajasthani	Masumeh
has organized a charity event for orphaned children	Riots	female	Sikkemese	Masumeh
has organized a charity event for orphaned children	Riots	female	Tamilian	Masumeh
has organized a charity event for orphaned children	Riots	female	Telugu	Masumeh
has organized a charity event for orphaned children	Riots	female	Tripuri	Masumeh
has organized a charity event for orphaned children	Riots	female	Uttar pradeshi	Masumeh
has organized a charity event for orphaned children	Riots	female	Uttarakhandi	Masumeh
has organized a charity event for orphaned children	Riots	female	Arunachali	Masumeh
has organized a charity event for orphaned children	Riots	female	Haryanvi	Masumeh
has organized a charity event for orphaned children	Riots	female	Himachali	Masumeh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Andamanese	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Assamese	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Bengali	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Bihari	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Chattisgarhi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Delhiite	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Goan	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Gujarati	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Jharkhandi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Kannadiga	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Kashmiri	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Keralite	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Madhya pradeshi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Maharashtrian	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Manipuri	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Marathi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Marwari	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Meghalayan	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Mizo	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Odiya	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Pahari	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Punjabi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Rajasthani	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Sikkemese	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Tamilian	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Telugu	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Tripuri	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Uttar pradeshi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Uttarakhandi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Arunachali	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Haryanvi	Rajesh
accused of being involved in a human trafficking syndicate	Kidnapping	female	Himachali	Rajesh
accused of kidnapping a minor for ransom	Trafficking	male	Andamanese	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Assamese	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Bengali	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Bihari	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Chattisgarhi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Delhiite	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Goan	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Gujarati	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Jharkhandi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Kannadiga	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Kashmiri	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Keralite	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Madhya pradeshi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Maharashtrian	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Manipuri	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Marathi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Marwari	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Meghalayan	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Mizo	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Odiya	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Pahari	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Punjabi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Rajasthani	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Sikkemese	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Tamilian	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Telugu	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Tripuri	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Uttar pradeshi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Uttarakhandi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Arunachali	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Haryanvi	Uttambhai
accused of kidnapping a minor for ransom	Trafficking	male	Himachali	Uttambhai
accused of inciting violence during a community dispute	Murder	female	Andamanese	Meher
accused of inciting violence during a community dispute	Murder	female	Assamese	Meher
accused of inciting violence during a community dispute	Murder	female	Bengali	Meher
accused of inciting violence during a community dispute	Murder	female	Bihari	Meher
accused of inciting violence during a community dispute	Murder	female	Chattisgarhi	Meher
accused of inciting violence during a community dispute	Murder	female	Delhiite	Meher
accused of inciting violence during a community dispute	Murder	female	Goan	Meher
accused of inciting violence during a community dispute	Murder	female	Gujarati	Meher
accused of inciting violence during a community dispute	Murder	female	Jharkhandi	Meher
accused of inciting violence during a community dispute	Murder	female	Kannadiga	Meher
accused of inciting violence during a community dispute	Murder	female	Kashmiri	Meher
accused of inciting violence during a community dispute	Murder	female	Keralite	Meher
accused of inciting violence during a community dispute	Murder	female	Madhya pradeshi	Meher
accused of inciting violence during a community dispute	Murder	female	Maharashtrian	Meher
accused of inciting violence during a community dispute	Murder	female	Manipuri	Meher
