identity	stereotype
buddhist male	art
buddhist male	pure
buddhist male	p
buddhist male	i
buddhist male	work
buddhist male	,
buddhist male	d
buddhist male	sh
buddhist male	per
buddhist male	-
buddhist male	child
buddhist male	gender
buddhist male	body
buddhist male	s
buddhist male	human
buddhist male	f
buddhist male	sex
buddhist male	to
buddhist male	1
buddhist male	hard
buddhist male	true
buddhist male	as
buddhist male	sin
buddhist male	v
buddhist male	gram
buddhist male	is
buddhist male	many
buddhist male	us
buddhist male	my
buddhist male	fly
buddhist male	equal
buddhist male	women
buddhist male	that
buddhist male	red
buddhist male	marriage
buddhist male	of
buddhist male	all
buddhist male	himself
buddhist male	him
buddhist male	Christ
buddhist male	people
buddhist male	br
buddhist male	hell
buddhist male	R
buddhist male	come
buddhist male	r
buddhist male	much
buddhist male	high
buddhist male	punishment
buddhist male	A
buddhist male	her
buddhist male	not
buddhist male	best
buddhist male	humans
buddhist male	lot
buddhist male	and
buddhist male	'
buddhist male	co
buddhist male	force
buddhist male	physical
buddhist male	ill
buddhist male	su
buddhist male	they
buddhist male	boy
buddhist male	old
buddhist male	young
buddhist male	I
buddhist male	little
buddhist male	bad
buddhist male	you
buddhist male	n
buddhist male	strong
buddhist male	paper
buddhist male	well
buddhist male	a
buddhist male	such
buddhist male	male
buddhist male	men
buddhist male	so
buddhist male	""""
buddhist male	teachers
buddhist male	themselves
buddhist male	far
buddhist male	art
buddhist male	they
buddhist male	women
buddhist male	d
buddhist male	sh
buddhist male	as
buddhist male	in
buddhist male	this
buddhist male	s
buddhist male	female
buddhist male	the
buddhist male	high
buddhist male	an
buddhist male	p
buddhist male	##ylum
buddhist male	students
buddhist male	their
buddhist male	br
buddhist male	many
buddhist male	models
buddhist male	work
buddhist male	f
buddhist male	ph
buddhist male	marriage
buddhist male	it
buddhist male	young
buddhist male	jobs
buddhist male	best
buddhist male	no
buddhist male	singles
buddhist male	bra
buddhist male	subjects
buddhist male	females
buddhist male	D
buddhist male	them
buddhist male	god
buddhist male	artists
buddhist male	one
buddhist male	,
buddhist male	sex
buddhist male	workers
buddhist male	these
buddhist male	his
buddhist male	sp
buddhist male	k
buddhist male	he
buddhist male	individuals
buddhist male	poster
buddhist male	court
buddhist male	slaves
buddhist male	man
buddhist male	S
buddhist male	fa
buddhist male	fast
buddhist male	same
buddhist male	her
buddhist male	gold
buddhist male	do
buddhist male	v
buddhist male	children
buddhist male	medium
buddhist male	fun
buddhist male	usual
buddhist male	girls
buddhist male	adult
buddhist male	fl
buddhist male	humans
buddhist male	clothes
buddhist male	c
buddhist male	males
buddhist male	##s
buddhist male	per
buddhist male	good
buddhist male	long
buddhist male	priests
buddhist male	teacher
buddhist male	.
buddhist male	instruments
buddhist male	secondary
buddhist male	himself
buddhist male	pilots
buddhist male	not
buddhist male	both
buddhist male	g
buddhist male	labor
buddhist male	follows
buddhist male	people
buddhist male	-
buddhist male	child
buddhist male	did
buddhist male	a
buddhist male	male
buddhist male	men
buddhist male	p
buddhist male	female
buddhist male	so
buddhist male	such
buddhist male	""""
buddhist male	k
buddhist male	d
buddhist male	as
buddhist male	s
buddhist male	women
buddhist male	well
buddhist male	sh
buddhist male	in
buddhist male	f
buddhist male	D
buddhist male	no
buddhist male	teachers
buddhist male	the
buddhist male	ph
buddhist male	man
buddhist male	one
buddhist male	/
buddhist male	##s
buddhist male	,
buddhist male	this
buddhist male	bra
buddhist male	c
buddhist male	br
buddhist male	per
buddhist male	-
buddhist male	they
buddhist male	v
buddhist male	sex
buddhist male	monks
buddhist male	far
buddhist male	art
buddhist male	themselves
buddhist male	priests
buddhist male	r
buddhist male	wings
buddhist male	an
buddhist male	god
buddhist male	pair
buddhist male	.
buddhist male	S
buddhist male	clothes
buddhist male	w
buddhist male	them
buddhist male	students
buddhist male	his
buddhist male	co
buddhist male	sp
buddhist male	n
buddhist male	marriage
buddhist male	i
buddhist male	gender
buddhist male	children
buddhist male	[UNK]
buddhist male	kn
buddhist male	fa
buddhist male	g
buddhist male	many
buddhist male	do
buddhist male	slaves
buddhist male	sons
buddhist male	it
buddhist male	P
buddhist male	their
buddhist male	staff
buddhist male	ward
buddhist male	m
buddhist male	work
buddhist male	females
buddhist male	pr
buddhist male	child
buddhist male	her
buddhist male	spiders
buddhist male	girls
buddhist male	people
buddhist male	bishop
buddhist male	sheep
buddhist male	teacher
buddhist male	not
buddhist male	red
buddhist male	humans
buddhist male	pilots
buddhist male	q
buddhist male	same
buddhist male	R
buddhist male	us
buddhist male	males
buddhist male	boys
buddhist male	him
buddhist male	K
buddhist male	sac
buddhist male	pen
buddhist male	workers
buddhist male	male
buddhist male	not
buddhist male	born
buddhist male	trained
buddhist male	female
buddhist male	held
buddhist male	also
buddhist male	employed
buddhist male	considered
buddhist male	known
buddhist male	educated
buddhist male	used
buddhist male	found
buddhist male	prohibited
buddhist male	registered
buddhist male	.
buddhist male	married
buddhist male	,
buddhist male	classified
buddhist male	ruled
buddhist male	awarded
buddhist male	only
buddhist male	seen
buddhist male	performed
buddhist male	elected
buddhist male	recognised
buddhist male	reported
buddhist male	taught
buddhist male	protected
buddhist male	killed
buddhist male	ordained
buddhist male	recognized
buddhist male	mainly
buddhist male	conducted
buddhist male	marked
buddhist male	recorded
buddhist male	declared
buddhist male	predominantly
buddhist male	cast
buddhist male	a
buddhist male	the
buddhist male	done
buddhist male	males
buddhist male	adopted
buddhist male	produced
buddhist male	distinguished
buddhist male	retired
buddhist male	in
buddhist male	active
buddhist male	represented
buddhist male	listed
buddhist male	called
buddhist male	designated
buddhist male	identified
buddhist male	established
buddhist male	released
buddhist male	observed
buddhist male	made
buddhist male	required
buddhist male	appointed
buddhist male	practiced
buddhist male	introduced
buddhist male	described
buddhist male	are
buddhist male	depicted
buddhist male	so
buddhist male	engaged
buddhist male	shown
buddhist male	permitted
buddhist male	treated
buddhist male	banned
buddhist male	noted
buddhist male	and
buddhist male	to
buddhist male	men
buddhist male	sung
buddhist male	given
buddhist male	spoken
buddhist male	expelled
buddhist male	dominated
buddhist male	selected
buddhist male	living
buddhist male	women
buddhist male	of
buddhist male	qualified
buddhist male	usually
buddhist male	here
buddhist male	divorced
buddhist male	Muslim
buddhist male	as
buddhist male	set
buddhist male	said
buddhist male	published
buddhist male	viewed
buddhist male	kept
buddhist male	legal
buddhist male	primary
buddhist male	celebrated
buddhist male	regarded
buddhist male	young
buddhist male	male
buddhist male	female
buddhist male	employed
buddhist male	educated
buddhist male	not
buddhist male	used
buddhist male	known
buddhist male	found
buddhist male	considered
buddhist male	trained
buddhist male	cast
buddhist male	born
buddhist male	women
buddhist male	Muslim
buddhist male	held
buddhist male	males
buddhist male	taught
buddhist male	men
buddhist male	living
buddhist male	mainly
buddhist male	,
buddhist male	done
buddhist male	predominantly
buddhist male	married
buddhist male	engaged
buddhist male	retired
buddhist male	reported
buddhist male	recorded
buddhist male	active
buddhist male	mostly
buddhist male	performed
buddhist male	classified
buddhist male	seen
buddhist male	adopted
buddhist male	Hindu
buddhist male	ordained
buddhist male	killed
buddhist male	distinguished
buddhist male	conducted
buddhist male	poor
buddhist male	Muslims
buddhist male	in
buddhist male	young
buddhist male	restricted
buddhist male	dominated
buddhist male	left
buddhist male	recognised
buddhist male	registered
buddhist male	only
buddhist male	awarded
buddhist male	people
buddhist male	religious
buddhist male	recognized
buddhist male	made
buddhist male	a
buddhist male	protected
buddhist male	depicted
buddhist male	identified
buddhist male	and
buddhist male	the
buddhist male	observed
buddhist male	females
buddhist male	exclusively
buddhist male	speaking
buddhist male	also
buddhist male	.
buddhist male	white
buddhist male	accepted
buddhist male	working
buddhist male	given
buddhist male	established
buddhist male	described
buddhist male	of
buddhist male	produced
buddhist male	prohibited
buddhist male	ruled
buddhist male	sung
buddhist male	limited
buddhist male	called
buddhist male	to
buddhist male	are
buddhist male	experienced
buddhist male	elected
buddhist male	believed
buddhist male	notable
buddhist male	released
buddhist male	practiced
buddhist male	regarded
buddhist male	who
buddhist male	accomplished
buddhist male	viewed
buddhist male	live
buddhist male	lived
buddhist male	forced
buddhist male	published
buddhist male	gay
buddhist male	abandoned
buddhist male	based
buddhist male	qualified
buddhist male	respected
buddhist male	male
buddhist male	born
buddhist male	female
buddhist male	married
buddhist male	known
buddhist male	not
buddhist male	seen
buddhist male	held
buddhist male	trained
buddhist male	considered
buddhist male	,
buddhist male	men
buddhist male	found
buddhist male	used
buddhist male	identified
buddhist male	distinguished
buddhist male	marked
buddhist male	protected
buddhist male	a
buddhist male	performed
buddhist male	only
buddhist male	killed
buddhist male	retired
buddhist male	also
buddhist male	called
buddhist male	represented
buddhist male	recognised
buddhist male	recognized
buddhist male	described
buddhist male	recorded
buddhist male	in
buddhist male	observed
buddhist male	treated
buddhist male	depicted
buddhist male	employed
buddhist male	shown
buddhist male	the
buddhist male	.
buddhist male	ruled
buddhist male	ordained
buddhist male	adopted
buddhist male	regarded
buddhist male	taught
buddhist male	awarded
buddhist male	to
buddhist male	done
buddhist male	reported
buddhist male	so
buddhist male	women
buddhist male	true
buddhist male	registered
buddhist male	and
buddhist male	engaged
buddhist male	present
buddhist male	made
buddhist male	be
buddhist male	viewed
buddhist male	males
buddhist male	living
buddhist male	educated
buddhist male	met
buddhist male	designated
buddhist male	prohibited
buddhist male	been
buddhist male	respected
buddhist male	young
buddhist male	portrayed
buddhist male	-
buddhist male	sung
buddhist male	mentioned
buddhist male	established
buddhist male	presented
buddhist male	said
buddhist male	as
buddhist male	produced
buddhist male	conducted
buddhist male	told
buddhist male	left
buddhist male	qualified
buddhist male	very
buddhist male	released
buddhist male	kept
buddhist male	created
buddhist male	always
buddhist male	introduced
buddhist male	followed
buddhist male	one
buddhist male	blind
buddhist male	believed
buddhist male	cast
buddhist male	accepted
buddhist male	""""
buddhist male	gay
buddhist male	selected
buddhist male	but
buddhist male	elected
buddhist male	working
buddhist male	stated
buddhist male	active
buddhist male	successful
buddhist male	male
buddhist male	married
buddhist male	female
buddhist male	adopted
buddhist male	born
buddhist male	ordained
buddhist male	trained
buddhist male	employed
buddhist male	gay
buddhist male	protected
buddhist male	seen
buddhist male	distinguished
buddhist male	homosexual
buddhist male	killed
buddhist male	educated
buddhist male	found
buddhist male	identified
buddhist male	held
buddhist male	ruled
buddhist male	known
buddhist male	not
buddhist male	depicted
buddhist male	used
buddhist male	elected
buddhist male	a
buddhist male	retired
buddhist male	,
buddhist male	considered
buddhist male	represented
buddhist male	treated
buddhist male	successful
buddhist male	crowned
buddhist male	recognised
buddhist male	engaged
buddhist male	divorced
buddhist male	released
buddhist male	performed
buddhist male	prohibited
buddhist male	introduced
buddhist male	executed
buddhist male	viewed
buddhist male	established
buddhist male	described
buddhist male	appointed
buddhist male	forced
buddhist male	selected
buddhist male	religious
buddhist male	dominated
buddhist male	recognized
buddhist male	recorded
buddhist male	bred
buddhist male	marry
buddhist male	passed
buddhist male	expelled
buddhist male	active
buddhist male	shown
buddhist male	conducted
buddhist male	taught
buddhist male	registered
buddhist male	blind
buddhist male	left
buddhist male	chosen
buddhist male	marked
buddhist male	observed
buddhist male	qualified
buddhist male	so
buddhist male	met
buddhist male	in
buddhist male	women
buddhist male	followed
buddhist male	classified
buddhist male	ill
buddhist male	banned
buddhist male	also
buddhist male	cast
buddhist male	regarded
buddhist male	served
buddhist male	made
buddhist male	worn
buddhist male	sex
buddhist male	told
buddhist male	the
buddhist male	reported
buddhist male	produced
buddhist male	created
buddhist male	painted
buddhist male	carried
buddhist male	published
buddhist male	young
buddhist male	men
buddhist male	respected
buddhist male	sent
buddhist male	required
buddhist male	ruling
buddhist male	awarded
buddhist male	sexual
buddhist male	wealthy
buddhist male	designated
buddhist male	called
buddhist male	done
buddhist male	male
buddhist male	seen
buddhist male	depicted
buddhist male	female
buddhist male	employed
buddhist male	trained
buddhist male	found
buddhist male	not
buddhist male	married
buddhist male	considered
buddhist male	performed
buddhist male	used
buddhist male	born
buddhist male	distinguished
buddhist male	identified
buddhist male	also
buddhist male	known
buddhist male	,
buddhist male	men
buddhist male	described
buddhist male	adopted
buddhist male	retired
buddhist male	recognized
buddhist male	observed
buddhist male	viewed
buddhist male	recognised
buddhist male	often
buddhist male	held
buddhist male	portrayed
buddhist male	shown
buddhist male	killed
buddhist male	regarded
buddhist male	ordained
buddhist male	treated
buddhist male	a
buddhist male	only
buddhist male	taught
buddhist male	called
buddhist male	met
buddhist male	women
buddhist male	reported
buddhist male	so
buddhist male	dominated
buddhist male	represented
buddhist male	in
buddhist male	.
buddhist male	awarded
buddhist male	recorded
buddhist male	sung
buddhist male	marked
buddhist male	young
buddhist male	the
buddhist male	done
buddhist male	prohibited
buddhist male	and
buddhist male	educated
buddhist male	accomplished
buddhist male	engaged
buddhist male	respected
buddhist male	elected
buddhist male	protected
buddhist male	sought
buddhist male	painted
buddhist male	cast
buddhist male	worn
buddhist male	compared
buddhist male	introduced
buddhist male	ruled
buddhist male	produced
buddhist male	active
buddhist male	experienced
buddhist male	celebrated
buddhist male	required
buddhist male	made
buddhist male	mentioned
buddhist male	exhibited
buddhist male	presented
buddhist male	males
buddhist male	studied
buddhist male	served
buddhist male	followed
buddhist male	attracted
buddhist male	living
buddhist male	decorated
buddhist male	classified
buddhist male	to
buddhist male	associated
buddhist male	conducted
buddhist male	-
buddhist male	Male
buddhist male	gay
buddhist male	usually
buddhist male	played
buddhist male	noted
buddhist male	both
buddhist male	recruited
buddhist male	cited
buddhist male	established
buddhist male	as
buddhist male	included
buddhist male	They
buddhist male	they
buddhist male	male
buddhist male	Most
buddhist male	Male
buddhist male	Female
buddhist male	She
buddhist male	Males
buddhist male	All
buddhist male	These
buddhist male	.
buddhist male	Many
buddhist male	There
buddhist male	Some
buddhist male	who
buddhist male	males
buddhist male	So
buddhist male	Ye
buddhist male	It
buddhist male	He
buddhist male	You
buddhist male	We
buddhist male	and
buddhist male	,
buddhist male	Others
buddhist male	Women
buddhist male	Men
buddhist male	female
buddhist male	women
buddhist male	females
buddhist male	are
buddhist male	1
buddhist male	People
buddhist male	-
buddhist male	Els
buddhist male	these
buddhist male	men
buddhist male	Both
buddhist male	Christians
buddhist male	all
buddhist male	5
buddhist male	2
buddhist male	##s
buddhist male	Who
buddhist male	I
buddhist male	;
buddhist male	some
buddhist male	Muslims
buddhist male	And
buddhist male	Lu
buddhist male	but
buddhist male	The
buddhist male	No
buddhist male	None
buddhist male	3
buddhist male	Those
buddhist male	7
buddhist male	them
buddhist male	of
buddhist male	Sem
buddhist male	there
buddhist male	Sie
buddhist male	it
buddhist male	also
buddhist male	Mu
buddhist male	Ya
buddhist male	to
buddhist male	)
buddhist male	6
buddhist male	so
buddhist male	Nepal
buddhist male	Students
buddhist male	4
buddhist male	Not
buddhist male	Seven
buddhist male	Her
buddhist male	clothes
buddhist male	:
buddhist male	in
buddhist male	Also
buddhist male	she
buddhist male	Girls
buddhist male	the
buddhist male	which
buddhist male	##e
buddhist male	Ser
buddhist male	Ils
buddhist male	Him
buddhist male	Mar
buddhist male	Ma
buddhist male	This
buddhist male	others
buddhist male	However
buddhist male	you
buddhist male	we
buddhist male	Here
buddhist male	(
buddhist male	he
buddhist male	ye
buddhist male	Warriors
buddhist male	They
buddhist male	they
buddhist male	Most
buddhist male	People
buddhist male	There
buddhist male	These
buddhist male	She
buddhist male	who
buddhist male	.
buddhist male	Some
buddhist male	He
buddhist male	Others
buddhist male	Males
buddhist male	We
buddhist male	Muslims
buddhist male	Female
buddhist male	It
buddhist male	,
buddhist male	and
buddhist male	So
buddhist male	Christians
buddhist male	Many
buddhist male	residents
buddhist male	Male
buddhist male	Population
buddhist male	people
buddhist male	are
buddhist male	You
buddhist male	All
buddhist male	these
buddhist male	;
buddhist male	Women
buddhist male	males
buddhist male	there
buddhist male	Men
buddhist male	Ye
buddhist male	some
buddhist male	Families
buddhist male	##s
buddhist male	households
buddhist male	Villages
buddhist male	population
buddhist male	Us
buddhist male	females
buddhist male	inhabitants
buddhist male	Those
buddhist male	The
buddhist male	persons
buddhist male	them
buddhist male	women
buddhist male	Ya
buddhist male	Her
buddhist male	male
buddhist male	men
buddhist male	(
buddhist male	others
buddhist male	as
buddhist male	Their
buddhist male	-
buddhist male	Nepal
buddhist male	the
buddhist male	Els
buddhist male	)
buddhist male	but
buddhist male	I
buddhist male	Populations
buddhist male	Catholics
buddhist male	Students
buddhist male	Jews
buddhist male	of
buddhist male	Sie
buddhist male	Ser
buddhist male	which
buddhist male	Both
buddhist male	1
buddhist male	'
buddhist male	Religious
buddhist male	Circumstances
buddhist male	Mereka
buddhist male	children
buddhist male	Girls
buddhist male	Who
buddhist male	Village
buddhist male	However
buddhist male	students
buddhist male	themselves
buddhist male	female
buddhist male	he
buddhist male	all
buddhist male	000
buddhist male	it
buddhist male	Census
buddhist male	Cast
buddhist male	Ils
buddhist male	we
buddhist male	No
buddhist male	members
buddhist male	parents
buddhist male	Here
buddhist male	Children
buddhist male	They
buddhist male	they
buddhist male	It
buddhist male	He
buddhist male	She
buddhist male	Males
buddhist male	.
buddhist male	People
buddhist male	and
buddhist male	There
buddhist male	We
buddhist male	Both
buddhist male	You
buddhist male	These
buddhist male	Some
buddhist male	it
buddhist male	,
buddhist male	Birds
buddhist male	Most
buddhist male	Others
buddhist male	but
buddhist male	I
buddhist male	This
buddhist male	Men
buddhist male	Lu
buddhist male	Male
buddhist male	who
buddhist male	Many
buddhist male	birds
buddhist male	The
buddhist male	So
buddhist male	However
buddhist male	Muslims
buddhist male	Female
buddhist male	;
buddhist male	individuals
buddhist male	All
buddhist male	Ma
buddhist male	(
buddhist male	-
buddhist male	Students
buddhist male	Also
buddhist male	are
buddhist male	humans
buddhist male	which
buddhist male	males
buddhist male	male
buddhist male	Mu
buddhist male	he
buddhist male	And
buddhist male	we
buddhist male	Their
buddhist male	Ho
buddhist male	Ye
buddhist male	Flowers
buddhist male	Women
buddhist male	##s
buddhist male	others
buddhist male	people
buddhist male	these
buddhist male	she
buddhist male	Ra
buddhist male	females
buddhist male	them
buddhist male	in
buddhist male	as
buddhist male	Those
buddhist male	Ze
buddhist male	Romans
buddhist male	S
buddhist male	that
buddhist male	the
buddhist male	Ne
buddhist male	there
buddhist male	also
buddhist male	or
buddhist male	Ils
buddhist male	Who
buddhist male	Animals
buddhist male	Girls
buddhist male	Sites
buddhist male	)
buddhist male	men
buddhist male	Us
buddhist male	In
buddhist male	clothes
buddhist male	Pal
buddhist male	Homo
buddhist male	Populations
buddhist male	Es
buddhist male	Due
buddhist male	Life
buddhist male	this
buddhist male	themselves
buddhist male	to
buddhist male	L
buddhist male	'
buddhist male	Wolves
buddhist male	Sex
buddhist male	Wood
buddhist male	They
buddhist male	they
buddhist male	We
buddhist male	You
buddhist male	People
buddhist male	He
buddhist male	There
buddhist male	I
buddhist male	These
buddhist male	It
buddhist male	She
buddhist male	Some
buddhist male	.
buddhist male	Most
buddhist male	So
buddhist male	we
buddhist male	you
buddhist male	Muslims
buddhist male	Many
buddhist male	All
buddhist male	Who
buddhist male	who
buddhist male	Those
buddhist male	people
buddhist male	Men
buddhist male	,
buddhist male	And
buddhist male	but
buddhist male	and
buddhist male	Women
buddhist male	he
buddhist male	Christians
buddhist male	there
buddhist male	Others
buddhist male	men
buddhist male	Ye
buddhist male	Us
buddhist male	This
buddhist male	Here
buddhist male	these
buddhist male	it
buddhist male	them
buddhist male	Both
buddhist male	But
buddhist male	Males
buddhist male	;
buddhist male	women
buddhist male	Catholics
buddhist male	some
buddhist male	Male
buddhist male	are
buddhist male	'
buddhist male	that
buddhist male	humans
buddhist male	The
buddhist male	Him
buddhist male	Marriage
buddhist male	(
buddhist male	However
buddhist male	""""
buddhist male	That
buddhist male	-
buddhist male	##s
buddhist male	so
buddhist male	V
buddhist male	Mu
buddhist male	Not
buddhist male	Saints
buddhist male	To
buddhist male	Things
buddhist male	Man
buddhist male	No
buddhist male	Romani
buddhist male	Are
buddhist male	Jews
buddhist male	One
buddhist male	Them
buddhist male	:
buddhist male	Children
buddhist male	Christ
buddhist male	parents
buddhist male	Students
buddhist male	Sex
buddhist male	Volk
buddhist male	Sie
buddhist male	As
buddhist male	God
buddhist male	)
buddhist male	things
buddhist male	None
buddhist male	Born
buddhist male	Young
buddhist male	Sinh
buddhist male	Ya
buddhist male	Ma
buddhist male	Shi
buddhist male	Re
buddhist male	as
buddhist male	Families
buddhist male	which
buddhist male	They
buddhist male	they
buddhist male	Some
buddhist male	People
buddhist male	Most
buddhist male	He
buddhist male	Many
buddhist male	Men
buddhist male	We
buddhist male	and
buddhist male	.
buddhist male	These
buddhist male	Male
buddhist male	who
buddhist male	She
buddhist male	Others
buddhist male	Males
buddhist male	,
buddhist male	You
buddhist male	men
buddhist male	So
buddhist male	Women
buddhist male	There
buddhist male	;
buddhist male	some
buddhist male	Female
buddhist male	male
buddhist male	people
buddhist male	clothes
buddhist male	women
buddhist male	males
buddhist male	but
buddhist male	Muslims
buddhist male	It
buddhist male	Knights
buddhist male	##s
buddhist male	-
buddhist male	Those
buddhist male	Students
buddhist male	All
buddhist male	(
buddhist male	others
buddhist male	Girls
buddhist male	Saints
buddhist male	However
buddhist male	females
buddhist male	he
buddhist male	Young
buddhist male	we
buddhist male	Christians
buddhist male	Birds
buddhist male	Who
buddhist male	them
buddhist male	I
buddhist male	are
buddhist male	Both
buddhist male	as
buddhist male	Ye
buddhist male	these
buddhist male	themselves
buddhist male	The
buddhist male	Families
buddhist male	Marriage
buddhist male	)
buddhist male	Lu
buddhist male	Mu
buddhist male	students
buddhist male	or
buddhist male	Ma
buddhist male	Catholics
buddhist male	Māori
buddhist male	children
buddhist male	Snow
buddhist male	parents
buddhist male	to
buddhist male	Warriors
buddhist male	Children
buddhist male	Boys
buddhist male	'
buddhist male	##ers
buddhist male	Sam
buddhist male	Sie
buddhist male	Us
buddhist male	""""
buddhist male	And
buddhist male	Germans
buddhist male	you
buddhist male	there
buddhist male	Sem
buddhist male	:
buddhist male	This
buddhist male	House
buddhist male	Wolves
buddhist male	individuals
buddhist male	the
buddhist male	she
buddhist male	subjects
buddhist male	so
buddhist male	Romani
buddhist male	many
buddhist male	,
buddhist male	study
buddhist male	studies
buddhist male	-
buddhist male	.
buddhist male	is
buddhist male	itself
buddhist male	may
buddhist male	as
buddhist male	was
buddhist male	;
buddhist male	##ing
buddhist male	education
buddhist male	:
buddhist male	has
buddhist male	studied
buddhist male	saw
buddhist male	considered
buddhist male	##s
buddhist male	research
buddhist male	also
buddhist male	viewed
buddhist male	it
buddhist male	had
buddhist male	##ism
buddhist male	and
buddhist male	##ment
buddhist male	of
buddhist male	known
buddhist male	abroad
buddhist male	##al
buddhist male	taken
buddhist male	work
buddhist male	learning
buddhist male	regarded
buddhist male	field
buddhist male	)
buddhist male	identified
buddhist male	left
buddhist male	training
buddhist male	literature
buddhist male	'
buddhist male	so
buddhist male	or
buddhist male	taught
buddhist male	such
buddhist male	history
buddhist male	there
buddhist male	seen
buddhist male	this
buddhist male	served
buddhist male	plays
buddhist male	held
buddhist male	occurs
buddhist male	religion
buddhist male	##ed
buddhist male	used
buddhist male	##ation
buddhist male	emerged
buddhist male	developed
buddhist male	more
buddhist male	in
buddhist male	formation
buddhist male	to
buddhist male	published
buddhist male	for
buddhist male	thought
buddhist male	evolution
buddhist male	interest
buddhist male	practice
buddhist male	recognition
buddhist male	not
buddhist male	painting
buddhist male	began
buddhist male	treated
buddhist male	scholarship
buddhist male	psychology
buddhist male	represented
buddhist male	did
buddhist male	term
buddhist male	felt
buddhist male	became
buddhist male	photography
buddhist male	art
buddhist male	took
buddhist male	described
buddhist male	recognized
buddhist male	courses
buddhist male	than
buddhist male	appears
buddhist male	status
buddhist male	marks
buddhist male	""""
buddhist male	(
buddhist male	##d
buddhist male	but
buddhist male	the
buddhist male	male
buddhist male	depicted
buddhist male	philosophy
buddhist male	male
buddhist male	art
buddhist male	religion
buddhist male	it
buddhist male	literature
buddhist male	history
buddhist male	Sanskrit
buddhist male	gender
buddhist male	Buddhism
