	Identity	Attribute	Total	West Suburban	West Urban	South Suburban	South Urban	East Suburban	East Urban	North Suburban	North Urban	Female	Male	General Category	Scheduled Castes	Scheduled Tribes	Other Backward Classes	Hindu	Muslim	Jain	Sikh	Buddhist	Christian	Unnamed: 23	Unnamed: 24
73	Female	Nurses	4	0	0	0	0	0	0	2	2	2	2	4	0	0	0	3	0	0	0	0	0		
74	Villagers	Illiterate	4	2	1	0	0	0	0	0	1	2	2	2	2	0	0	4	0	0	0	0	0		
75	Gujaratis	Traders	4	3	1	0	0	0	0	0	0	2	1	1	0	0	3	4	0	0	0	0	0		
76	Dalits	Poor people	4	0	0	4	0	0	0	0	0	2	2	0	0	0	4	2	0	0	0	0	0		
77	Half sareemony	Badapila	4	0	0	0	0	4	0	0	0	2	2	0	0	4	0	4	0	0	0	0	0		
78	Engineers	Talented	3	0	0	0	3	0	0	0	0	2	1	3	0	0	0	3	0	0	0	0	0		
79	Baniya	Businessmen	3	0	1	0	0	0	0	0	2	2	1	3	0	0	0	3	0	0	0	0	0		
80	Teachers	Smart	3	0	0	0	3	0	0	0	0	2	1	1	0	0	2	3	0	0	0	0	0		
81	Hindus	Agriculture	3	3	0	0	0	0	0	0	0	2	1	2	0	0	1	1	0	0	0	0	0		
82	Blonde women	Dumb	3	0	0	0	0	0	1	0	2	2	1	2	0	0	1	1	0	0	1	0	0		
83	Baniya	Businessman	3	0	0	0	0	0	0	1	2	2	1	3	0	0	0	2	0	0	1	0	0		
84	Hindus	Worker	3	1	0	0	0	0	0	2	0	2	1	2	0	0	0	3	0	0	0	0	0		
85	Hindus	Farmers	3	1	1	0	0	1	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0		
86	Punjabi	Soldiers	3	3	0	0	0	0	0	0	0	2	1	1	0	1	1	1	0	1	0	0	0		
87	South Indian	Madrasi	3	1	1	0	0	0	0	1	0	2	1	1	1	0	1	2	0	0	0	0	0		
88	Boys	Play with trucks	3	0	0	3	0	0	0	0	0	2	1	2	0	0	1	3	0	0	0	0	0		
89	Gujarati	Rich	3	0	0	0	0	0	0	0	3	2	1	3	0	0	0	0	0	0	2	0	0		
90	Punjabi	Business persons	3	0	1	0	0	0	1	0	1	2	0	2	0	0	1	2	0	0	1	0	0		
91	Punjabi	Agriculture	3	3	0	0	0	0	0	0	0	2	1	3	0	0	0	2	0	0	0	0	0		
92	Mountains	Tall	3	0	0	0	3	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	0		
93	Canadians	Polite	3	2	0	0	1	0	0	0	0	2	1	3	0	0	0	3	0	0	0	0	0		
94	Politicians	Corrupt	3	0	2	0	0	0	0	0	1	2	1	2	0	0	1	1	0	0	0	0	0		
95	Christians	Professional	3	0	3	0	0	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	0		
96	Men	Handsome	3	1	0	0	2	0	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0		
97	Indians	Talented	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0		
98	Gujarati	Business man	2	0	0	0	0	0	1	0	1	2	0	1	0	0	1	1	0	0	1	0	0		
99	Kids	Happy	2	0	0	1	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0		
100	West Indies	Black	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0		
101	Farmers	Agriculture	2	0	0	2	0	0	0	0	0	2	0	1	0	0	1	2	0	0	0	0	0		
102	South Indian	Jobs	2	2	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0		
103	Shudras	Artisans	2	1	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0		
104	North Eastern	Chinese	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0		
105	Boys	Don't cry	2	0	0	0	0	0	1	0	1	2	0	2	0	0	0	1	0	0	0	0	0		
106	Teachers	Strict	2	0	1	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0		
107	Hindus	Farming	2	0	0	0	0	2	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1		
108	Brahmins	Wise	2	0	0	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	0	0	0		
109	Boys	Handsome	2	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0		
110	Brahmins	Priest	2	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0		
111	Kerala	Agriculture	2	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0		
112	Hindus	Caste discrimination	2	2	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0		
113	Gujaratis	Humble	2	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0		
114	Boys	Cars	2	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	1	0	0		
115	Punjabi	Farming	2	1	0	0	0	0	1	0	0	2	0	2	0	0	0	2	0	0	0	0	0		
116	Christian	Lower caste	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2		
117	South Indian	Inteligent	2	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1		
118	Rajasthanis	Business persons	2	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0		
119	South Indian	Smart	2	0	1	0	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0		
120	Punjabi	Loud	2	1	0	0	0	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0		
121	Asians	Good at math	2	1	1	0	0	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	0		
122	Punjabi	Traders	2	1	0	0	0	0	0	1	0	2	0	1	0	0	1	2	0	0	0	0	0		
123	South Indian	Idli	2	1	0	0	0	0	1	0	0	2	0	2	0	0	0	2	0	0	0	0	0		
124	Men	Dominant	2	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0		
125	Punjabi	Drink a lot	2	0	0	0	0	0	0	0	2	2	0	2	0	0	0	1	0	0	1	0	0		
126	Men	Don't cry	2	0	0	0	0	0	0	0	2	2	0	2	0	0	0	1	0	0	0	0	0		
127	Girl child	Dowry	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2		
128	Girl child	Early marriage	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2		
129	Men	Cannot cry	2	0	0	2	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0		
130	Marwadis	Jewellery	2	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0		
131	Punjabi	Eat non veg	2	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0		
132	Men	Patriarchy	2	0	0	0	1	0	1	0	0	2	0	1	0	0	1	2	0	0	0	0	0		
133	Female	Like pink colour	2	0	0	0	1	0	1	0	0	2	0	1	0	0	1	2	0	0	0	0	0		
134	Female	Delicate	2	0	0	1	0	0	0	0	1	2	0	1	0	0	1	2	0	0	0	0	0		
135	Female	Homemaker	2	0	0	0	0	0	0	1	1	2	0	2	0	0	0	1	0	0	1	0	0		
136	Poor	Illiterate	2	0	0	1	0	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0		
137	Female	Caring	2	1	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0		
138	Bengalis	Fish lovers	2	1	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0		
139	Africans	Black	2	0	0	1	0	0	1	0	0	2	0	1	0	0	1	2	0	0	0	0	0		
140	Kshatriyas	Rich	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0		
141	Female	Hardworkers	2	0	0	1	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0		
142	Maharashtrians	Jobs	2	2	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0		
143	Maharashtra	Mixed culture	2	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0		
144	Male	Doctor	11	0	0	0	0	0	0	11	0	1	10	11	0	0	0	10	0	0	0	0	0		
145	Female	Housekeeping	10	0	0	0	0	0	0	10	0	1	9	2	0	0	8	2	8	0	0	0	0		
146	Kumhar	Pot makers	8	0	0	0	0	0	0	8	0	1	7	8	0	0	0	8	0	0	0	0	0		
147	Pandit	Astrology	8	0	0	0	0	0	0	8	0	1	7	8	0	0	0	8	0	0	0	0	0		
148	Marathas	Warriors	7	4	3	0	0	0	0	0	0	1	6	3	1	0	1	7	0	0	0	0	0		
149	Mochi	Shoe maker	5	0	0	0	0	0	0	5	0	1	4	3	0	0	2	2	2	0	0	0	0		
150	Male	Sports	5	0	0	0	0	0	0	5	0	1	4	0	0	0	5	0	5	0	0	0	0		
151	Punjabi	Alcoholic	4	2	0	0	0	0	1	0	1	1	3	1	2	0	0	4	0	0	0	0	0		
152	Brahmins	Vegetarian	4	0	1	0	1	0	0	1	1	1	3	2	0	0	2	3	0	0	0	0	1		
153	Brahmins	Pandit	4	0	3	0	0	0	1	0	0	1	3	4	0	0	0	4	0	0	0	0	0		
154	Mumbai	Vadapav	4	4	0	0	0	0	0	0	0	1	2	1	0	0	0	4	0	0	0	0	0		
155	Marwadis	Landlords	4	0	0	4	0	0	0	0	0	1	3	0	0	0	4	1	0	0	0	0	0		
156	Tribals	Uneducated	4	0	0	0	0	4	0	0	0	1	3	0	0	0	4	0	0	0	0	0	4		
157	Kumhar	Pot maker	4	0	0	0	0	0	0	4	0	1	3	1	0	0	3	1	3	0	0	0	0		
158	Brahmins	Pujari	4	3	0	0	0	0	0	1	0	1	3	1	2	0	1	3	0	0	0	0	0		
159	Baniya	Money minded	3	0	0	0	0	0	0	0	3	1	2	3	0	0	0	1	0	0	2	0	0		
160	South Indian	Dark	3	0	1	0	0	0	1	1	0	1	2	2	0	0	1	3	0	0	0	0	0		
161	Vyshyas	Vegetarians	3	0	0	1	2	0	0	0	0	1	2	2	0	0	1	2	0	0	0	0	0		
162	Muslims	All muslim are not terrorist	3	0	0	0	0	0	0	3	0	1	2	3	0	0	0	3	0	0	0	0	0		
163	Men	Smart	3	2	0	0	0	0	0	1	0	1	1	2	0	0	0	3	0	0	0	0	0		
164	Female	Should play with dolls	3	0	0	2	0	1	0	0	0	1	2	1	0	0	2	2	0	0	0	0	1		
165	White people	Superior	3	0	0	2	0	0	0	0	1	1	2	2	0	0	0	2	0	0	0	0	0		
166	Brahmins	Puja	3	1	1	0	0	0	1	0	0	1	2	1	0	0	1	2	0	0	0	0	0		
167	India	Poor	3	0	0	2	0	0	1	0	0	1	2	3	0	0	0	1	0	0	0	0	0		
168	Gujarati	Money minded	3	0	0	0	0	0	2	0	1	1	2	2	0	0	0	2	0	0	0	0	0		
169	Muslims	Terrorists	3	0	0	1	0	0	0	1	1	1	2	3	0	0	0	2	0	0	0	0	0		
170	Americans	Loud	3	1	0	2	0	0	0	0	0	1	2	2	0	0	1	3	0	0	0	0	0		
171	Christian	Poor	3	0	0	0	0	3	0	0	0	1	2	0	0	0	3	0	0	0	0	0	3		
172	Punjabi	Brave	3	0	0	0	3	0	0	0	0	1	2	2	0	0	1	2	0	0	0	0	0		
173	Sabar	Hunting	3	0	0	0	0	3	0	0	0	1	2	0	1	1	1	2	0	0	0	0	0		
174	Biharis	Uneducated	3	0	0	0	0	0	1	0	2	1	1	3	0	0	0	2	0	0	0	0	0		
175	Nepalis	Watchmen	3	3	0	0	0	0	0	0	0	1	2	1	0	0	1	2	0	0	0	0	0		
176	Men	Sports	3	0	0	2	0	0	0	1	0	1	2	2	0	0	1	1	1	0	0	0	1		
177	Brahmins	Intelligent	3	1	0	0	1	0	1	0	0	1	2	2	0	0	0	2	0	0	0	0	0		
178	Muslims	Marry	2	0	0	2	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
179	Gujarati	Traders	2	0	0	0	0	1	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0		
180	Biharis	Civil services	2	0	2	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0		
181	Most teachers	Female	2	1	1	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0		
182	Dalit	Cleaners	2	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0		
183	Delhites	Aggressive	2	0	0	0	0	0	1	0	1	1	1	2	0	0	0	1	0	0	0	0	0		
184	Teachers	Passionate	2	0	0	0	2	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0		
185	Jaat	Farmers	2	0	0	0	0	0	0	2	0	1	1	2	0	0	0	2	0	0	0	0	0		
186	Tamilians	Engineers	2	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	1	0	1	0	0		
187	Boys	Should not wear dresses	2	0	0	2	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
188	Teachers	Female	2	0	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	0	1	0	0		
189	Islam	Violence	2	0	0	2	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
190	Dalits	Untouchables	2	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1		
191	Boys	Less attentive	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0		
192	Vyshyas	Merchants	2	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0		
193	Santhala	Baha bhanga	2	0	0	0	0	2	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0		
194	Blacks	inferior	2	0	0	1	0	0	0	1	0	1	1	2	0	0	0	2	0	0	0	0	0		
195	Gujaratis	Hotel	2	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0		
196	Uttar Pradeshi	Stalls	2	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0		
197	White people	succesful	2	0	0	0	0	0	0	2	0	1	1	2	0	0	0	2	0	0	0	0	0		
198	Doctors	Are life savers	2	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0		
199	Sindhis	Are traditional	2	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0		
200	Female	Kitchen	2	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0		
201	Women	Are strong	2	0	0	0	2	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0		
202	Marwadis	General stores	2	0	2	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0		
203	Brahmins	Vegetarians	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
204	Punjabi	Farmers	2	0	2	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
205	Men	Are courageous	2	0	0	0	2	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0		
206	Men	Are hardworkers	2	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0		
207	Female	Pink colour	2	2	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
208	Baniya	Rich	2	0	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	0	1	0	0		
209	Female	Household chores	2	0	0	1	1	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
210	Punjabi	Alchoholic	2	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0		
211	Baniya	Stingy	2	0	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	0	0	0	0		
212	Mangalas	Hair cutters	2	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0		
213	Christian	Low caste	2	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	0	0	0	0	2		
214	Americans	Competitive	2	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0		
215	Female	Talkative	2	0	0	0	0	0	2	0	0	1	0	1	0	0	1	2	0	0	0	0	0		
216	Punjabi	turban	2	2	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0		
217	Marwadis	Sonar	2	0	2	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0		
218	Female	Red and pink	2	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0		
219	Baniya	Misers	2	0	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	0	0	0	0		
220	Bengalis	Not traders	2	1	0	0	0	0	1	0	0	1	1	1	0	0	0	2	0	0	0	0	0		
221	Singhs	Business persons	2	0	0	0	1	0	0	1	0	1	1	0	0	0	2	2	0	0	0	0	0		
222	Gujarati	Businessmen	2	0	0	0	0	0	2	0	0	1	1	1	0	0	1	2	0	0	0	0	0		
223	Female	Can't drive	2	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0		
224	Female	nurturing	2	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0		
225	Hindus	Are devotional	2	0	0	0	2	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0		
226	Female	Teachers	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0		
227	Soldier	Men	2	0	0	0	0	0	1	0	1	1	1	1	0	0	1	2	0	0	0	0	0		
228	Americans	Hardworking	2	2	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0		
229	Marwadis	Gold business	2	2	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0		
230	Female	Cannot handle businesses	2	0	0	2	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0		
231	Female	Good cooks	2	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0		
232	Men	Business persons	2	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	1		
233	Odia	Poor	2	0	0	0	0	0	2	0	0	1	1	1	0	0	1	1	0	0	0	0	0		
234	Men	Should not cry	2	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2		
235	Money	Everything	2	1	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0		
236	Housewife	Female	2	0	0	0	0	0	0	2	0	1	1	2	0	0	0	2	0	0	0	0	0		
237	Pana	Trade	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0		
238	Odisha	Odisi dance	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
239	Odisha	people eating pakhal	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
240	Odisha	Poor people	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
241	Pahadis	Fair	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
242	Pahadis	Servants	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
243	Old men	Angry	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
244	Old people	Burden for their children	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1		
245	Other backward class people	Untouchable	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
246	Overweight person	unmarried	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0		
247	Pahadis	Momos	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
248	Old lady	Bully	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
