"Identity","Attribute","Total","West Suburban","West Urban","South Suburban","South Urban","East Suburban","East Urban","North Suburban","North Urban","Female","Male","General Category","Scheduled Castes","Scheduled Tribes","Other Backward Classes","Hindu","Muslim","Jain","Sikh","Buddhist","Christian","",""
"Paik","Warrior","7","0","0","0","0","7","0","0","0","4","3","0","1","4","1","3","0","0","0","0","0","",""
"Americans","White people","6","0","0","1","5","0","0","0","0","4","2","3","0","0","3","3","0","0","0","0","0","",""
"Indians","Poor","6","2","2","0","0","0","0","1","1","4","2","2","0","0","4","5","0","0","1","0","0","",""
"Men","Brave","6","0","1","0","1","0","2","0","2","4","1","3","1","0","2","6","0","0","0","0","0","",""
"Dalits","Untouchable","6","0","0","1","0","3","2","0","0","4","2","0","1","0","4","3","0","0","0","0","3","",""
"Female","Household work","5","1","0","0","0","0","2","1","1","4","0","2","0","0","2","3","0","0","1","0","0","",""
"Pets","Loyal","5","0","0","0","5","0","0","0","0","4","1","3","1","0","1","4","0","0","0","0","1","",""
"Indians","Uneducated","5","2","2","0","0","0","0","0","1","4","1","2","0","0","3","4","0","0","1","0","0","",""
"Female","Household","4","0","0","2","0","0","0","0","2","4","0","4","0","0","0","2","0","0","0","0","1","",""
"Christian","Bible","4","0","0","0","0","4","0","0","0","4","0","2","0","1","1","3","0","0","0","0","1","",""
"Female","Irrational","4","1","0","0","0","0","1","0","2","4","0","4","0","0","0","3","0","0","0","0","0","",""
"Vyshyas","Are traders","4","0","0","0","4","0","0","0","0","4","0","1","0","1","1","2","0","0","0","0","0","",""
"Female","Strong","4","0","0","1","3","0","0","0","0","4","0","0","0","0","3","2","0","0","0","0","0","",""
"Gujaratis","Businessmen","13","9","4","0","0","0","0","0","0","3","9","8","3","0","1","10","1","0","0","1","0","",""
"Marwadis","Businessmen","9","2","5","0","0","0","2","0","0","3","5","3","1","0","4","6","1","0","0","1","0","",""
"Men","Strong","9","2","0","2","1","0","1","1","2","3","5","7","0","0","2","8","0","0","0","0","0","",""
"Odisha","Ratha Yatra","6","0","0","0","0","6","0","0","0","3","2","1","1","3","0","4","0","0","0","0","2","",""
"Female","Inferior","5","0","0","0","1","4","0","0","0","3","2","0","0","0","5","1","0","0","0","0","4","",""
"Hindus","Religious","5","1","0","0","0","0","4","0","0","3","0","2","0","0","2","4","0","0","0","0","0","",""
"Brahmins","Pujaris","5","0","5","0","0","0","0","0","0","3","2","3","0","0","0","5","0","0","0","0","0","",""
"Kshatriyas","Warriors","5","2","0","1","0","0","1","0","1","3","1","2","1","0","2","1","1","0","0","0","0","",""
"Female","Play with dolls","4","0","0","4","0","0","0","0","0","3","1","2","0","0","2","4","0","0","0","0","0","",""
"South Indian","Intelligent","4","1","2","0","0","0","1","0","0","3","1","3","0","0","1","1","1","1","0","0","0","",""
"Gujarati","Business persons","4","0","0","0","0","0","4","0","0","3","1","3","1","0","0","3","0","0","0","0","0","",""
"Vegetables","Healthy","4","0","0","0","4","0","0","0","0","3","1","2","0","0","1","4","0","0","0","0","0","",""
"Men","Do not cry","4","1","2","0","0","0","0","0","1","3","0","3","1","0","0","3","1","0","0","0","0","",""
"Female","Like pink","4","0","0","3","0","0","1","0","0","3","1","2","1","0","1","2","0","0","0","0","0","",""
"Bengalis","Fish","4","0","0","0","0","0","4","0","0","3","1","4","0","0","0","4","0","0","0","0","0","",""
"Teachers","Smart workers","3","0","0","0","3","0","0","0","0","3","0","0","0","0","2","2","0","0","0","0","0","",""
"Kids","Sensitive","3","0","0","0","3","0","0","0","0","3","0","2","0","0","0","1","0","0","0","0","0","",""
"Marwadis","Shops","3","2","1","0","0","0","0","0","0","3","0","2","0","0","1","2","0","0","0","0","0","",""
"Marathis","Jobs","3","3","0","0","0","0","0","0","0","3","0","2","0","0","1","2","0","0","0","0","0","",""
"Female","Nurturing","3","1","0","1","0","0","1","0","0","3","0","2","0","0","0","3","0","0","0","0","0","",""
"Tribes","Hunters","3","0","0","0","3","0","0","0","0","3","0","0","0","0","2","2","0","0","0","0","0","",""
"Marathas","Brave","3","0","0","1","2","0","0","0","0","3","0","3","0","0","0","3","0","0","0","0","0","",""
"Punjabi","Hotels","3","0","3","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","",""
"Mali","Gardner","10","0","0","0","0","0","0","10","0","2","8","5","0","0","5","5","5","0","0","0","0","",""
"Nurses","Female","10","0","1","0","0","1","0","8","0","2","8","2","0","0","8","2","7","0","0","0","0","",""
"Baniya","Traders","9","0","0","0","0","0","0","9","0","2","7","1","0","0","8","1","8","0","0","0","0","",""
"Dalits","Cleaners","7","0","0","0","0","0","1","6","0","2","5","7","0","0","0","7","0","0","0","0","0","",""
"Gujarati","Businessman","7","0","0","0","0","1","2","1","3","2","5","7","0","0","0","5","0","1","1","0","0","",""
"Female","Nurse","6","0","1","0","0","0","0","5","0","2","4","2","0","0","3","2","3","0","0","0","0","",""
"Marathas","Warrior","5","0","0","0","0","5","0","0","0","2","3","0","1","3","1","2","0","0","0","0","0","",""
"Brahmins","Pandits","5","3","0","2","0","0","0","0","0","2","3","5","0","0","0","4","0","0","0","0","0","",""
"Marwadis","Traders","5","4","1","0","0","0","0","0","0","2","2","5","0","0","0","2","0","0","0","0","0","",""
"Desia","Chaiti","4","0","0","0","0","4","0","0","0","2","2","0","0","4","0","3","0","0","0","0","0","",""
"Female","Nurses","4","0","0","0","0","0","0","2","2","2","2","4","0","0","0","3","0","0","0","0","0","",""
"Villagers","Illiterate","4","2","1","0","0","0","0","0","1","2","2","2","2","0","0","4","0","0","0","0","0","",""
"Gujaratis","Traders","4","3","1","0","0","0","0","0","0","2","1","1","0","0","3","4","0","0","0","0","0","",""
"Dalits","Poor people","4","0","0","4","0","0","0","0","0","2","2","0","0","0","4","2","0","0","0","0","0","",""
"Half sareemony","Badapila","4","0","0","0","0","4","0","0","0","2","2","0","0","4","0","4","0","0","0","0","0","",""
"Engineers","Talented","3","0","0","0","3","0","0","0","0","2","1","3","0","0","0","3","0","0","0","0","0","",""
"Baniya","Businessmen","3","0","1","0","0","0","0","0","2","2","1","3","0","0","0","3","0","0","0","0","0","",""
"Teachers","Smart","3","0","0","0","3","0","0","0","0","2","1","1","0","0","2","3","0","0","0","0","0","",""
"Hindus","Agriculture","3","3","0","0","0","0","0","0","0","2","1","2","0","0","1","1","0","0","0","0","0","",""
"Blonde women","Dumb","3","0","0","0","0","0","1","0","2","2","1","2","0","0","1","1","0","0","1","0","0","",""
"Baniya","Businessman","3","0","0","0","0","0","0","1","2","2","1","3","0","0","0","2","0","0","1","0","0","",""
"Hindus","Worker","3","1","0","0","0","0","0","2","0","2","1","2","0","0","0","3","0","0","0","0","0","",""
"Hindus","Farmers","3","1","1","0","0","1","0","0","0","2","0","2","0","0","0","3","0","0","0","0","0","",""
"Punjabi","Soldiers","3","3","0","0","0","0","0","0","0","2","1","1","0","1","1","1","0","1","0","0","0","",""
"South Indian","Madrasi","3","1","1","0","0","0","0","1","0","2","1","1","1","0","1","2","0","0","0","0","0","",""
"Boys","Play with trucks","3","0","0","3","0","0","0","0","0","2","1","2","0","0","1","3","0","0","0","0","0","",""
"Gujarati","Rich","3","0","0","0","0","0","0","0","3","2","1","3","0","0","0","0","0","0","2","0","0","",""
"Punjabi","Business persons","3","0","1","0","0","0","1","0","1","2","0","2","0","0","1","2","0","0","1","0","0","",""
"Punjabi","Agriculture","3","3","0","0","0","0","0","0","0","2","1","3","0","0","0","2","0","0","0","0","0","",""
"Mountains","Tall","3","0","0","0","3","0","0","0","0","2","1","1","0","0","1","1","0","0","0","0","0","",""
"Canadians","Polite","3","2","0","0","1","0","0","0","0","2","1","3","0","0","0","3","0","0","0","0","0","",""
"Politicians","Corrupt","3","0","2","0","0","0","0","0","1","2","1","2","0","0","1","1","0","0","0","0","0","",""
"Christians","Professional","3","0","3","0","0","0","0","0","0","2","1","1","0","0","1","1","0","0","0","0","0","",""
"Men","Handsome","3","1","0","0","2","0","0","0","0","2","1","0","0","0","1","2","0","0","0","0","0","",""
"Indians","Talented","2","0","0","0","2","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","",""
"Gujarati","Business man","2","0","0","0","0","0","1","0","1","2","0","1","0","0","1","1","0","0","1","0","0","",""
"Kids","Happy","2","0","0","1","1","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","",""
"West Indies","Black","2","0","0","0","0","2","0","0","0","2","0","0","0","0","2","1","0","0","0","0","0","",""
"Farmers","Agriculture","2","0","0","2","0","0","0","0","0","2","0","1","0","0","1","2","0","0","0","0","0","",""
"South Indian","Jobs","2","2","0","0","0","0","0","0","0","2","0","1","0","0","1","1","0","0","0","0","0","",""
"Shudras","Artisans","2","1","0","0","1","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","",""
"North Eastern","Chinese","2","0","0","0","0","0","2","0","0","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Boys","Don't cry","2","0","0","0","0","0","1","0","1","2","0","2","0","0","0","1","0","0","0","0","0","",""
"Teachers","Strict","2","0","1","0","1","0","0","0","0","2","0","2","0","0","0","1","0","0","0","0","0","",""
"Hindus","Farming","2","0","0","0","0","2","0","0","0","2","0","0","0","1","1","1","0","0","0","0","1","",""
"Brahmins","Wise","2","0","0","0","0","0","2","0","0","2","0","0","1","0","0","2","0","0","0","0","0","",""
"Boys","Handsome","2","0","0","0","2","0","0","0","0","2","0","1","0","0","0","2","0","0","0","0","0","",""
"Brahmins","Priest","2","0","0","1","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","",""
"Kerala","Agriculture","2","0","2","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","",""
"Hindus","Caste discrimination","2","2","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Gujaratis","Humble","2","2","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0","1","0","0","0","",""
"Boys","Cars","2","0","0","0","0","0","0","0","2","2","0","2","0","0","0","0","0","0","1","0","0","",""
"Punjabi","Farming","2","1","0","0","0","0","1","0","0","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Christian","Lower caste","2","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","",""
"South Indian","Inteligent","2","0","0","0","0","2","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1","",""
"Rajasthanis","Business persons","2","1","1","0","0","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","",""
"South Indian","Smart","2","0","1","0","1","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","",""
"Punjabi","Loud","2","1","0","0","0","0","0","0","1","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Asians","Good at math","2","1","1","0","0","0","0","0","0","2","0","1","1","0","0","2","0","0","0","0","0","",""
"Punjabi","Traders","2","1","0","0","0","0","0","1","0","2","0","1","0","0","1","2","0","0","0","0","0","",""
"South Indian","Idli","2","1","0","0","0","0","1","0","0","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Men","Dominant","2","0","1","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","1","0","",""
"Punjabi","Drink a lot","2","0","0","0","0","0","0","0","2","2","0","2","0","0","0","1","0","0","1","0","0","",""
"Men","Don't cry","2","0","0","0","0","0","0","0","2","2","0","2","0","0","0","1","0","0","0","0","0","",""
"Girl child","Dowry","2","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","",""
"Girl child","Early marriage","2","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","",""
"Men","Cannot cry","2","0","0","2","0","0","0","0","0","2","0","1","0","0","1","1","0","0","0","0","0","",""
"Marwadis","Jewellery","2","0","2","0","0","0","0","0","0","2","0","1","0","0","1","0","1","0","0","0","0","",""
"Punjabi","Eat non veg","2","0","0","0","0","0","0","0","2","2","0","2","0","0","0","0","0","0","0","0","0","",""
"Men","Patriarchy","2","0","0","0","1","0","1","0","0","2","0","1","0","0","1","2","0","0","0","0","0","",""
"Female","Like pink colour","2","0","0","0","1","0","1","0","0","2","0","1","0","0","1","2","0","0","0","0","0","",""
"Female","Delicate","2","0","0","1","0","0","0","0","1","2","0","1","0","0","1","2","0","0","0","0","0","",""
"Female","Homemaker","2","0","0","0","0","0","0","1","1","2","0","2","0","0","0","1","0","0","1","0","0","",""
"Poor","Illiterate","2","0","0","1","0","0","0","0","1","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Female","Caring","2","1","0","0","0","0","0","1","0","2","0","2","0","0","0","1","0","0","0","0","0","",""
"Bengalis","Fish lovers","2","1","0","0","0","0","1","0","0","2","0","2","0","0","0","1","0","0","0","0","0","",""
"Africans","Black","2","0","0","1","0","0","1","0","0","2","0","1","0","0","1","2","0","0","0","0","0","",""
"Kshatriyas","Rich","2","0","0","0","2","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","",""
"Female","Hardworkers","2","0","0","1","1","0","0","0","0","2","0","0","0","0","1","2","0","0","0","0","0","",""
"Maharashtrians","Jobs","2","2","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","0","0","0","0","",""
"Maharashtra","Mixed culture","2","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","",""
"Male","Doctor","11","0","0","0","0","0","0","11","0","1","10","11","0","0","0","10","0","0","0","0","0","",""
"Female","Housekeeping","10","0","0","0","0","0","0","10","0","1","9","2","0","0","8","2","8","0","0","0","0","",""
"Kumhar","Pot makers","8","0","0","0","0","0","0","8","0","1","7","8","0","0","0","8","0","0","0","0","0","",""
"Pandit","Astrology","8","0","0","0","0","0","0","8","0","1","7","8","0","0","0","8","0","0","0","0","0","",""
"Marathas","Warriors","7","4","3","0","0","0","0","0","0","1","6","3","1","0","1","7","0","0","0","0","0","",""
"Mochi","Shoe maker","5","0","0","0","0","0","0","5","0","1","4","3","0","0","2","2","2","0","0","0","0","",""
"Male","Sports","5","0","0","0","0","0","0","5","0","1","4","0","0","0","5","0","5","0","0","0","0","",""
"Punjabi","Alcoholic","4","2","0","0","0","0","1","0","1","1","3","1","2","0","0","4","0","0","0","0","0","",""
"Brahmins","Vegetarian","4","0","1","0","1","0","0","1","1","1","3","2","0","0","2","3","0","0","0","0","1","",""
"Brahmins","Pandit","4","0","3","0","0","0","1","0","0","1","3","4","0","0","0","4","0","0","0","0","0","",""
"Mumbai","Vadapav","4","4","0","0","0","0","0","0","0","1","2","1","0","0","0","4","0","0","0","0","0","",""
"Marwadis","Landlords","4","0","0","4","0","0","0","0","0","1","3","0","0","0","4","1","0","0","0","0","0","",""
"Tribals","Uneducated","4","0","0","0","0","4","0","0","0","1","3","0","0","0","4","0","0","0","0","0","4","",""
"Kumhar","Pot maker","4","0","0","0","0","0","0","4","0","1","3","1","0","0","3","1","3","0","0","0","0","",""
"Brahmins","Pujari","4","3","0","0","0","0","0","1","0","1","3","1","2","0","1","3","0","0","0","0","0","",""
"Baniya","Money minded","3","0","0","0","0","0","0","0","3","1","2","3","0","0","0","1","0","0","2","0","0","",""
"South Indian","Dark","3","0","1","0","0","0","1","1","0","1","2","2","0","0","1","3","0","0","0","0","0","",""
"Vyshyas","Vegetarians","3","0","0","1","2","0","0","0","0","1","2","2","0","0","1","2","0","0","0","0","0","",""
"Muslims","All muslim are not terrorist","3","0","0","0","0","0","0","3","0","1","2","3","0","0","0","3","0","0","0","0","0","",""
"Men","Smart","3","2","0","0","0","0","0","1","0","1","1","2","0","0","0","3","0","0","0","0","0","",""
"Female","Should play with dolls","3","0","0","2","0","1","0","0","0","1","2","1","0","0","2","2","0","0","0","0","1","",""
"White people","Superior","3","0","0","2","0","0","0","0","1","1","2","2","0","0","0","2","0","0","0","0","0","",""
"Brahmins","Puja","3","1","1","0","0","0","1","0","0","1","2","1","0","0","1","2","0","0","0","0","0","",""
"India","Poor","3","0","0","2","0","0","1","0","0","1","2","3","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Money minded","3","0","0","0","0","0","2","0","1","1","2","2","0","0","0","2","0","0","0","0","0","",""
"Muslims","Terrorists","3","0","0","1","0","0","0","1","1","1","2","3","0","0","0","2","0","0","0","0","0","",""
"Americans","Loud","3","1","0","2","0","0","0","0","0","1","2","2","0","0","1","3","0","0","0","0","0","",""
"Christian","Poor","3","0","0","0","0","3","0","0","0","1","2","0","0","0","3","0","0","0","0","0","3","",""
"Punjabi","Brave","3","0","0","0","3","0","0","0","0","1","2","2","0","0","1","2","0","0","0","0","0","",""
"Sabar","Hunting","3","0","0","0","0","3","0","0","0","1","2","0","1","1","1","2","0","0","0","0","0","",""
"Biharis","Uneducated","3","0","0","0","0","0","1","0","2","1","1","3","0","0","0","2","0","0","0","0","0","",""
"Nepalis","Watchmen","3","3","0","0","0","0","0","0","0","1","2","1","0","0","1","2","0","0","0","0","0","",""
"Men","Sports","3","0","0","2","0","0","0","1","0","1","2","2","0","0","1","1","1","0","0","0","1","",""
"Brahmins","Intelligent","3","1","0","0","1","0","1","0","0","1","2","2","0","0","0","2","0","0","0","0","0","",""
"Muslims","Marry","2","0","0","2","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Gujarati","Traders","2","0","0","0","0","1","1","0","0","1","0","1","0","0","0","2","0","0","0","0","0","",""
"Biharis","Civil services","2","0","2","0","0","0","0","0","0","1","1","1","0","0","0","2","0","0","0","0","0","",""
"Most teachers","Female","2","1","1","0","0","0","0","0","0","1","1","0","0","0","2","1","0","0","0","0","0","",""
"Dalit","Cleaners","2","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","",""
"Delhites","Aggressive","2","0","0","0","0","0","1","0","1","1","1","2","0","0","0","1","0","0","0","0","0","",""
"Teachers","Passionate","2","0","0","0","2","0","0","0","0","1","1","0","0","0","2","2","0","0","0","0","0","",""
"Jaat","Farmers","2","0","0","0","0","0","0","2","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Tamilians","Engineers","2","0","1","0","0","0","0","0","1","1","1","2","0","0","0","0","1","0","1","0","0","",""
"Boys","Should not wear dresses","2","0","0","2","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Teachers","Female","2","0","0","0","0","0","0","0","2","1","1","2","0","0","0","1","0","0","1","0","0","",""
"Islam","Violence","2","0","0","2","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Dalits","Untouchables","2","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","0","0","0","0","1","",""
"Boys","Less attentive","2","1","0","0","0","0","1","0","0","1","0","0","0","0","1","2","0","0","0","0","0","",""
"Vyshyas","Merchants","2","0","0","1","1","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","",""
"Santhala","Baha bhanga","2","0","0","0","0","2","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","",""
"Blacks","inferior","2","0","0","1","0","0","0","1","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Gujaratis","Hotel","2","2","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","",""
"Uttar Pradeshi","Stalls","2","0","2","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","",""
"White people","succesful","2","0","0","0","0","0","0","2","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Doctors","Are life savers","2","0","0","0","2","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","",""
"Sindhis","Are traditional","2","0","0","0","2","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","",""
"Female","Kitchen","2","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1","1","0","0","0","0","",""
"Women","Are strong","2","0","0","0","2","0","0","0","0","1","1","0","0","1","1","2","0","0","0","0","0","",""
"Marwadis","General stores","2","0","2","0","0","0","0","0","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Brahmins","Vegetarians","2","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Farmers","2","0","2","0","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Men","Are courageous","2","0","0","0","2","0","0","0","0","1","1","0","0","1","1","2","0","0","0","0","0","",""
"Men","Are hardworkers","2","0","0","1","1","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","",""
"Female","Pink colour","2","2","0","0","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Baniya","Rich","2","0","0","0","0","0","0","0","2","1","1","2","0","0","0","1","0","0","1","0","0","",""
"Female","Household chores","2","0","0","1","1","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Punjabi","Alchoholic","2","0","0","0","0","0","0","0","2","1","1","2","0","0","0","0","0","0","0","0","0","",""
"Baniya","Stingy","2","0","0","0","0","0","0","0","2","1","1","2","0","0","0","1","0","0","0","0","0","",""
"Mangalas","Hair cutters","2","0","0","2","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","",""
"Christian","Low caste","2","0","0","0","0","2","0","0","0","1","1","0","0","0","2","0","0","0","0","0","2","",""
"Americans","Competitive","2","0","0","2","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","",""
"Female","Talkative","2","0","0","0","0","0","2","0","0","1","0","1","0","0","1","2","0","0","0","0","0","",""
"Punjabi","turban","2","2","0","0","0","0","0","0","0","1","1","0","2","0","0","2","0","0","0","0","0","",""
"Marwadis","Sonar","2","0","2","0","0","0","0","0","0","1","1","1","0","0","0","2","0","0","0","0","0","",""
"Female","Red and pink","2","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","0","0","0","0","0","",""
"Baniya","Misers","2","0","0","0","0","0","0","0","2","1","1","2","0","0","0","1","0","0","0","0","0","",""
"Bengalis","Not traders","2","1","0","0","0","0","1","0","0","1","1","1","0","0","0","2","0","0","0","0","0","",""
"Singhs","Business persons","2","0","0","0","1","0","0","1","0","1","1","0","0","0","2","2","0","0","0","0","0","",""
"Gujarati","Businessmen","2","0","0","0","0","0","2","0","0","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Female","Can't drive","2","0","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","",""
"Female","nurturing","2","0","1","0","1","0","0","0","0","1","1","2","0","0","0","0","1","0","0","0","0","",""
"Hindus","Are devotional","2","0","0","0","2","0","0","0","0","1","1","2","0","0","0","1","0","0","0","0","0","",""
"Female","Teachers","2","0","1","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","",""
"Soldier","Men","2","0","0","0","0","0","1","0","1","1","1","1","0","0","1","2","0","0","0","0","0","",""
"Americans","Hardworking","2","2","0","0","0","0","0","0","0","1","1","2","0","0","0","1","0","0","0","0","0","",""
"Marwadis","Gold business","2","2","0","0","0","0","0","0","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Female","Cannot handle businesses","2","0","0","2","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","",""
"Female","Good cooks","2","0","0","0","0","0","0","0","2","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Men","Business persons","2","0","0","1","0","0","0","0","1","1","1","2","0","0","0","0","0","0","1","0","1","",""
"Odia","Poor","2","0","0","0","0","0","2","0","0","1","1","1","0","0","1","1","0","0","0","0","0","",""
"Men","Should not cry","2","0","0","2","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","2","",""
"Money","Everything","2","1","0","0","0","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0","",""
"Housewife","Female","2","0","0","0","0","0","0","2","0","1","1","2","0","0","0","2","0","0","0","0","0","",""
"Pana","Trade","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","",""
"Odisha","Odisi dance","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Odisha","people eating pakhal","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Odisha","Poor people","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Pahadis","Fair","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Pahadis","Servants","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Old men","Angry","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Old people","Burden for their children","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","",""
